TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
59233,66218,8432,9480,66,71,883,621,9,4,136,91
63015,68758,9406,10147,69,72,371,44,6,3,42,8
64678,74512,9212,10539,69,70,591,219,6,5,98,46
54261,61995,7932,9142,67,70,715,471,8,5,129,79
59839,69613,8433,9883,67,72,952,415,8,3,150,52
58442,65419,8447,9524,68,70,1052,424,7,5,139,54
51128,55806,7628,8405,68,70,611,298,7,5,108,46
58342,68127,8359,9723,69,72,485,129,6,3,62,20
56437,65851,7992,9321,67,72,486,208,8,3,104,43
61274,70032,8923,10265,67,68,1138,660,8,7,186,107
91951,99978,10471,11398,67,70,1309,656,8,5,155,63
78874,91609,9491,11087,68,72,984,331,7,3,115,44
94511,112776,10741,12968,68,71,984,362,7,4,143,69
122327,141195,12631,14142,67,74,769,378,8,1,100,42
124015,137591,12048,13501,71,72,559,122,4,3,48,19
118290,128817,12335,13264,69,73,852,374,6,2,70,34
104720,111758,11707,12395,67,70,767,729,8,5,102,85
109089,122497,11985,13470,69,72,767,115,6,3,109,14
96718,110738,10517,12087,68,71,600,394,7,4,81,70
92373,106235,10269,11623,69,70,1060,247,6,5,108,27
81951,86152,11766,12413,94,95,484,616,6,5,55,75
75278,86742,10951,12710,92,98,554,161,8,2,80,18
90467,90467,12492,12492,95,95,452,452,5,5,58,58
73984,78266,10491,10978,94,92,483,455,6,8,82,93
86677,96744,12146,13576,95,97,410,172,5,3,50,41
73546,86780,10761,12666,92,96,902,491,8,4,108,71
81886,95100,11455,13340,92,95,313,252,8,5,55,48
77486,84923,11043,12188,94,95,339,255,6,5,50,33
74441,77939,10697,11221,94,94,599,584,6,6,94,95
81658,97419,11446,13742,92,97,778,325,8,3,106,44
121105,133641,13690,15106,95,96,699,327,5,4,91,45
138918,150674,15390,16591,94,95,608,287,6,5,60,42
121743,130750,14267,15194,95,95,377,306,5,5,43,48
135842,152422,14598,16384,94,96,637,460,6,4,68,59
139062,153156,15479,16919,95,97,668,539,5,3,76,57
141969,148795,15813,16484,95,96,380,683,5,4,51,68
142102,149359,15696,16386,96,97,157,281,4,3,19,31
135645,141663,14578,15239,95,94,355,475,5,6,45,86
115997,125877,13136,14196,94,95,620,344,6,5,81,51
118888,137533,13720,15771,93,96,984,325,7,4,122,41
72426,81857,10170,11524,88,94,1126,720,12,6,161,116
78867,83625,11305,12017,93,94,852,813,7,6,102,98
77364,88758,10629,12235,90,95,943,378,10,5,144,57
75185,79464,10639,11253,90,91,1293,1075,10,9,191,147
67864,76394,9880,11145,93,97,947,393,7,3,114,45
75386,82813,10495,11700,94,93,891,580,6,7,124,77
75490,85832,10605,12195,93,95,680,374,7,5,91,54
82609,94023,11208,12677,90,92,1433,633,10,8,232,115
76349,81332,10504,11229,89,91,1253,769,11,9,207,126
68184,73486,9771,10549,91,91,852,750,9,9,141,116
115780,126430,13475,14788,92,91,1604,1254,8,9,193,139
122816,134560,13954,15332,94,95,616,699,6,5,67,74
110103,124731,12369,14042,92,95,822,741,8,5,124,118
116646,127015,13624,14688,92,95,1077,824,8,5,106,90
142625,152847,14499,15389,92,92,813,995,8,8,103,146
133232,149297,14109,15738,95,94,1179,633,5,6,122,64
123494,140438,14204,16054,90,95,757,657,10,5,99,85
164595,174020,16465,17602,91,93,1401,1222,9,7,164,122
129688,137915,14356,15210,91,90,1034,1166,9,10,122,141
119525,132119,13415,14693,92,93,1633,1206,8,7,164,125
128783,141179,17096,18824,95,98,239,90,5,2,41,10
120890,133820,16709,18584,96,98,418,106,4,2,55,24
122984,134602,17561,19226,98,98,86,60,2,2,19,9
140191,148101,19203,20144,94,93,555,549,6,7,83,101
127547,143282,18000,20263,94,98,619,172,6,2,81,22
126656,134684,17128,18229,91,95,453,450,9,5,68,53
130699,146879,18183,20459,93,97,401,254,7,3,56,35
111755,118298,16204,17153,96,96,96,275,4,4,17,44
122898,127660,16738,17506,95,96,535,550,5,4,67,64
126930,133434,18480,19423,94,98,364,213,6,2,49,28
224168,234751,23426,24538,97,98,349,293,3,2,32,25
200078,204400,21663,22141,95,96,498,363,5,4,69,57
249331,267705,26685,28703,96,96,357,281,4,4,49,53
260279,272770,25978,27506,95,97,312,67,5,3,46,8
202164,217667,21923,23557,96,99,282,48,4,1,47,6
185286,196491,20263,21314,96,98,224,192,4,2,28,32
197322,212115,22556,24254,94,95,257,284,6,5,34,41
213893,226012,23108,24452,98,98,248,242,2,2,39,33
220263,224787,24324,24756,97,97,298,271,3,3,26,24
222317,230603,24462,25331,96,98,560,197,4,2,44,16
108669,114911,15283,16105,96,93,899,773,4,7,101,92
115265,129828,16163,18215,93,97,807,450,7,3,111,63
110827,113415,16270,16690,92,91,1225,1164,8,9,168,150
117793,126647,15805,17034,91,93,1116,495,9,7,177,91
113690,118744,16012,16768,94,96,419,256,6,4,60,33
116493,124983,16163,17290,95,94,484,450,5,6,85,64
110815,118465,16298,17458,94,94,560,778,6,6,86,112
104783,116823,15391,17079,94,97,642,313,6,3,98,55
123076,131404,17120,18203,95,96,702,309,5,4,116,54
115370,130122,16161,18269,92,94,1037,1071,8,6,142,163
184936,196929,19591,20390,95,92,496,652,5,8,77,111
197159,203258,20332,20700,94,93,823,760,6,7,159,145
255133,263000,25183,25848,95,96,513,469,5,4,72,60
195271,198289,21139,21483,97,97,305,305,3,3,36,36
167745,193885,19719,22801,94,97,514,348,6,3,93,46
226605,237186,23769,24789,95,97,786,447,5,3,82,47
180272,188081,21050,21688,93,95,673,988,7,5,82,120
190299,202736,21615,23138,93,93,1255,750,7,7,136,100
181707,185353,20237,20558,95,96,747,515,5,4,114,73
201808,215505,20564,22207,97,98,682,135,3,2,59,18
89397,94342,12145,12844,96,98,450,361,4,2,53,37
73364,83710,10829,12410,90,92,792,462,10,8,106,67
80191,89232,11115,12338,90,95,627,448,10,5,105,50
79723,85990,10878,11740,95,96,434,236,5,4,65,46
79460,87370,11409,12562,93,94,869,544,7,6,106,69
73150,84616,10781,12511,90,98,745,114,10,2,111,19
