TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
16750,27068,1789,2923,38,42,1416,552,12,8,151,64
22724,33668,2519,3498,42,47,1251,102,8,3,148,11
21870,34119,2148,3369,38,42,1504,1328,12,8,152,152
21740,32120,2268,3180,37,40,1478,1146,13,10,165,130
20831,36382,2415,4098,39,44,912,443,11,6,136,93
22464,35537,3216,4977,46,45,322,266,4,5,37,45
26218,38355,3458,5098,41,45,771,266,9,5,103,39
17780,29823,2580,4336,44,47,257,161,6,3,51,22
19210,24963,2845,3539,41,45,563,287,9,5,82,54
22855,38863,3213,5461,46,48,93,54,4,2,15,12
22967,35364,3294,4755,43,46,250,336,7,4,30,45
24470,37948,3423,5626,41,47,566,164,9,3,86,17
22131,30202,3054,4158,43,46,802,281,7,4,114,33
24683,36096,3622,5186,42,46,590,410,8,4,89,49
25168,34876,3688,4810,46,48,507,168,4,2,72,22
42293,60792,4374,6233,45,48,399,214,5,2,38,22
38549,47683,4916,5053,42,45,576,604,8,5,61,59
39353,56460,4197,5608,46,47,539,305,4,3,62,35
34399,46730,3921,5351,45,45,358,541,5,5,52,55
45243,59376,4430,5635,43,48,633,228,7,2,91,32
27129,44654,3290,5010,40,49,671,0,10,1,91,0
31586,47909,4062,5615,43,46,861,165,7,4,90,31
32482,49540,3824,5827,44,46,822,265,6,4,70,35
43869,57767,5060,6480,45,49,705,35,5,1,88,5
36552,57026,4049,5975,46,48,699,196,4,2,66,16
22958,34044,2905,4336,39,44,1371,939,11,6,208,130
21253,32526,2990,4334,43,47,877,232,7,3,111,41
24605,36186,3768,4994,45,48,409,202,5,2,78,47
22865,31040,3348,4388,42,43,648,367,8,7,80,61
18596,30132,2815,4429,38,46,1258,454,12,4,171,56
20896,31266,2880,4410,38,45,1229,521,12,5,181,71
16757,28340,2519,4244,37,47,1498,544,13,3,239,77
20344,28873,2898,3964,43,46,1210,304,7,4,166,65
20917,35966,2930,4938,39,46,1160,403,11,4,147,45
22368,32553,3218,4602,46,46,477,340,4,4,74,59
34204,44533,4103,5281,41,45,1037,429,9,5,127,47
30968,46808,3540,5266,42,49,842,16,8,1,118,4
30041,49331,3128,5556,40,46,1398,855,10,4,181,120
32363,47371,3553,5279,44,46,1425,346,6,4,123,34
29120,40645,3135,4601,40,48,1179,501,10,2,160,48
38127,54342,4050,5774,41,46,979,617,9,4,137,91
36120,53598,3877,5479,42,45,912,365,8,5,78,42
29723,51975,3257,5709,41,46,1039,163,9,4,134,23
41121,51316,4469,5279,42,43,248,650,8,7,37,76
40632,57832,4214,6074,41,45,1418,156,9,5,143,25
40615,51969,5656,7128,66,70,540,543,9,5,66,67
