TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
28029,36708,3487,4585,41,43,1125,1190,9,7,121,101
38864,55735,4069,6406,40,45,1037,614,10,5,128,65
38320,53412,4155,6316,41,46,1402,664,9,4,155,64
41547,54472,6859,8743,68,72,850,330,7,3,85,33
42289,52528,6845,8269,68,71,1000,630,7,4,100,63
33967,43881,5712,7160,67,70,886,350,8,5,90,35
33617,41275,6187,7426,65,70,1013,630,10,5,102,63
35547,46575,5815,7487,65,71,814,470,10,4,82,47
47878,55858,7178,8226,67,69,580,410,8,6,58,41
35892,44608,6013,7348,66,69,1201,840,9,6,121,84
37748,44662,6486,7593,69,68,828,558,6,7,83,56
43044,58658,6937,9239,65,73,859,280,10,2,86,28
37647,48278,6458,8080,67,69,1424,664,8,6,146,67
60222,79104,7444,9593,69,73,663,96,6,2,65,12
72914,87424,8165,9650,68,72,689,422,7,3,62,45
54803,69052,7162,8854,67,72,960,436,8,3,93,38
55982,64831,7112,8172,66,69,1174,640,9,6,113,60
54854,68969,6803,8404,68,69,842,862,7,6,87,89
66950,81348,7541,9037,65,70,1123,618,10,5,108,55
64860,90309,7816,10620,67,72,660,356,8,3,67,26
65433,79869,7827,9395,69,70,566,550,6,5,57,49
59480,84033,6733,9330,68,72,1080,516,7,3,100,46
53541,64823,7115,8372,68,73,460,108,7,2,42,18
31318,40541,5244,6655,61,65,2129,1371,14,10,217,139
40694,52363,6936,8654,66,71,1039,580,9,4,105,58
32972,43690,5503,7092,67,70,1639,748,8,5,172,76
39279,53423,6499,8759,68,70,1414,920,7,5,143,92
38972,53856,6256,8546,65,69,1662,560,10,6,169,56
38695,49490,6505,8113,65,68,1630,1398,10,7,163,140
43788,52569,7169,8479,68,69,898,404,7,6,90,41
35263,40527,5998,6817,69,66,917,1025,6,9,95,106
30304,40225,5315,6938,63,66,2404,1240,12,9,241,124
34777,40874,5878,6766,65,67,2780,1550,10,8,278,155
55028,65992,7218,8427,62,68,1931,1350,13,7,201,141
54982,74548,6520,8625,69,69,1038,682,6,6,87,55
54794,66267,7219,8563,66,68,714,1342,9,7,79,141
59346,79766,7338,9584,62,69,1853,938,13,6,196,91
61142,74070,7766,9153,66,71,1343,1092,9,4,126,98
61482,81000,7407,9545,65,70,1692,1278,10,5,167,117
60023,70658,7269,8420,66,70,1101,906,9,5,143,95
59600,74231,7168,8834,65,67,1258,1366,10,8,127,149
53862,74518,6887,9205,66,68,1042,796,9,7,112,86
55088,63760,6953,7939,64,67,1344,1980,11,8,145,182
65776,68769,11134,11586,70,70,741,620,5,5,79,62
60623,72017,10003,11959,68,69,717,430,7,6,72,43
59535,71166,10419,12036,70,71,695,260,5,4,70,26
49706,58972,8936,10399,68,70,1140,570,7,5,117,57
60992,76224,9970,12229,69,72,647,310,6,3,69,31
49838,57241,9195,10391,71,71,380,650,4,4,38,65
65948,75106,10533,11831,71,72,400,410,4,3,40,41
51434,68120,8788,11257,70,74,468,0,5,1,49,0
55721,70722,8892,11092,70,74,562,230,5,1,60,23
60949,69367,10294,11443,71,74,107,20,4,1,11,2
95542,133145,10294,13961,69,73,479,320,6,2,69,24
79674,105170,10781,13895,71,71,562,254,4,4,59,29
84390,108162,10587,13187,65,72,736,338,10,3,84,35
79819,107596,9581,12606,68,70,750,389,7,5,73,47
103392,125957,10909,13533,73,71,393,562,2,4,34,55
94155,123795,10978,14142,70,73,540,272,5,2,54,20
90055,114288,11320,14026,69,73,662,150,6,2,74,13
113249,133030,12480,14498,68,72,748,398,7,3,82,33
89740,113362,11115,13642,72,71,274,482,3,4,39,35
94514,101978,11917,12740,72,70,370,778,3,5,27,75
63667,68825,9996,10752,66,70,1669,1190,9,5,171,119
56346,67051,9731,11383,66,70,1443,580,9,5,148,58
53456,66349,9695,11712,70,70,790,890,5,5,79,89
47891,58367,8597,10316,70,70,1060,490,5,5,106,49
65934,85738,10641,13672,70,72,1076,680,5,3,109,68
47702,57414,8318,9910,66,65,1658,760,9,10,168,76
48371,64800,8628,11238,66,71,1907,650,9,4,195,65
62736,72360,10090,11596,68,69,1289,1190,7,6,131,120
51475,65734,9259,11393,67,72,1246,820,8,3,125,82
53619,72837,8896,11695,66,71,1604,660,9,4,164,66
92628,110863,10545,12253,68,73,904,168,7,2,75,12
90480,103743,11755,13233,69,68,852,1198,6,7,85,117
85343,113520,10779,14005,65,70,1680,800,10,5,188,72
92925,115677,11011,13452,68,70,1447,458,7,5,144,47
78173,106892,9978,13229,66,70,1649,928,9,5,159,72
78043,103321,9968,12673,68,70,1566,740,7,5,140,74
99608,132492,11380,14859,68,71,1070,666,7,4,101,67
90615,110704,10071,12028,67,70,939,1010,8,5,106,103
79501,98874,9741,11926,67,70,2218,978,8,5,222,87
78731,94351,10722,12522,67,70,1508,1250,8,5,167,127
33669,46648,5951,7889,66,73,744,320,9,2,76,32
37042,48924,5911,7646,66,70,939,560,9,5,94,56
36873,50013,6072,7898,67,72,1130,550,8,3,113,55
38816,46254,6405,7598,71,70,470,590,4,5,47,59
27268,40245,4915,6963,65,72,1361,490,10,3,140,49
36572,46185,6281,7824,71,72,390,360,4,3,39,36
43765,48822,7143,7863,68,68,1178,750,7,7,120,75
35994,46816,6374,8045,70,74,438,100,5,1,45,10
33227,44827,5738,7538,66,71,804,120,9,4,82,12
33102,43740,5903,7451,66,72,830,510,9,3,83,51
71852,86038,7616,9046,69,72,337,358,6,3,55,49
58036,81827,6765,9275,67,71,800,154,8,4,78,19
69882,90125,7368,9438,65,69,1230,624,10,6,120,64
61979,83672,7864,10295,68,73,747,214,7,2,91,21
60147,83576,7309,9917,69,74,1092,210,6,1,95,15
65136,81476,7490,9220,69,69,660,368,6,6,74,36
49257,61690,7318,8997,67,71,981,264,8,4,107,44
51742,63373,6524,7826,64,71,1196,586,11,4,131,43
62196,81121,7463,9543,68,72,691,390,7,3,70,49
71231,95237,7797,10216,70,72,389,466,5,3,34,35
35677,52203,5801,8156,62,70,2594,720,13,5,260,72
30407,42295,5400,7224,65,69,1460,799,10,6,148,80
39705,45797,6616,7509,62,68,1510,920,13,7,153,92
34497,48511,5720,7731,62,71,1413,610,13,4,147,61
38650,48096,6344,7773,64,66,2184,1687,11,9,222,170
33168,45506,6063,7990,62,70,2018,350,13,5,203,35
31119,43067,5278,7198,63,71,1516,760,12,4,153,76
38714,49517,6267,7863,65,71,2105,850,10,4,211,85
39545,52884,6283,8276,65,71,1758,320,10,4,177,32
29560,37660,5426,6799,64,67,1836,707,11,8,193,72
53552,68381,6872,8666,66,67,1624,1271,9,8,154,141
55258,69033,7011,8474,65,66,1523,1459,10,9,174,147
43293,64406,5966,8465,62,70,2286,906,13,5,235,87
54093,69307,6753,8550,66,66,1555,1262,9,9,123,125
48082,56034,6448,7379,66,68,1313,994,9,7,146,125
47910,67759,6412,8765,65,68,1387,1008,10,7,140,107
57151,64176,7255,8051,65,66,843,1332,10,9,82,142
62657,75190,6809,8090,65,68,1470,509,10,7,149,58
51039,72607,6147,8556,65,71,1899,576,10,4,194,48
53155,66219,6473,7881,63,72,1209,464,12,3,133,52
49627,63244,8432,10602,67,73,894,120,8,2,91,12
55362,70906,9772,12003,66,73,832,350,9,2,85,35
61115,71761,10203,11844,71,73,399,270,4,2,41,27
62264,76728,10219,12416,70,71,670,480,5,4,67,48
61039,75850,10647,12950,65,73,731,290,10,2,77,29
66199,82336,10691,13096,72,74,397,0,3,1,40,0
59184,79308,9554,12595,72,74,330,10,3,1,33,1
67375,75464,11211,12356,70,70,533,380,5,5,55,38
51151,66086,9428,11937,66,72,892,260,9,3,92,26
57195,70108,9882,11812,71,74,273,190,4,1,28,19
94343,116481,11917,14494,70,72,394,200,5,3,51,28
93159,109040,11065,12722,67,68,734,1258,8,7,72,123
82946,105939,9842,12302,66,71,1124,436,9,4,113,38
82539,97554,11709,13598,71,72,724,724,4,3,68,62
89769,119173,11653,15182,69,72,370,318,6,3,51,37
85461,111248,11160,14216,69,74,514,72,6,1,51,12
96533,115395,10494,12281,70,70,403,494,5,5,40,37
87177,116956,11219,14725,68,73,927,240,7,2,97,28
97168,125847,12405,15691,71,73,582,366,4,2,56,33
98544,131367,11063,14656,68,73,867,124,7,2,85,14
53903,70106,8829,11351,65,70,1667,944,10,5,180,95
56972,70215,9808,11672,69,71,840,540,6,4,84,54
63095,77453,10571,12826,65,72,1728,420,10,3,176,42
50134,65821,8953,11432,70,71,1400,860,5,4,140,86
54418,68393,9533,11612,68,70,1188,480,7,5,120,48
54017,61740,9466,10615,69,69,1290,680,6,6,129,68
46067,59775,8698,11014,63,71,1573,740,12,4,159,74
51772,64641,9149,11149,66,72,1350,480,9,3,139,48
47800,61491,8453,10559,67,71,835,220,8,4,84,22
54092,68996,9465,11818,70,69,1230,910,5,6,123,91
67382,98250,8893,12437,62,70,1987,668,13,5,225,62
58309,81551,8864,11902,67,70,1096,475,8,5,120,66
75355,89881,10553,12305,64,72,1386,866,11,3,123,87
98285,115384,11049,12953,68,71,1397,1126,7,4,133,113
104840,130392,10860,13503,67,70,1503,614,8,5,160,53
96645,124232,10507,13398,69,72,1316,294,6,3,112,21
86336,107633,11354,13749,69,69,1334,992,6,6,145,108
89554,111661,10810,13147,68,73,783,120,7,2,68,20
73955,86226,9142,10531,65,69,1418,486,10,6,136,41
76992,91601,9515,11132,65,68,2171,1359,10,7,202,122
