TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
49782,56550,5622,6200,58,58,1723,1439,17,17,198,172
45483,47106,4465,4584,60,60,1542,1423,15,15,204,183
44579,48810,4840,5303,61,62,1610,1516,14,13,187,177
21241,24466,3010,3412,51,54,3307,3059,24,21,453,419
27705,32549,3709,4400,52,54,1948,1663,23,21,341,275
20551,25278,2941,3589,50,53,2969,1698,25,22,419,246
24918,28489,3484,3897,53,54,2529,2458,22,21,401,402
24506,29676,3300,3977,51,54,1748,1655,24,21,259,248
23388,28105,3130,3780,54,55,2440,2252,21,20,353,350
31559,37433,4012,4762,52,56,3158,2553,23,19,419,352
22057,25080,3060,3483,53,55,1377,1151,22,20,242,201
21272,28448,3168,4234,58,64,1508,1025,17,11,201,140
25280,30467,3532,4204,53,55,3032,2362,22,20,433,336
46290,49434,5287,5532,61,62,2358,2183,14,13,265,264
45411,57001,5018,6174,56,64,2030,893,19,11,203,102
33461,37985,3620,4045,53,55,2236,2152,22,20,277,261
50833,59692,5232,5934,58,62,2418,2159,17,13,318,274
42863,46379,4333,4680,58,58,2328,2221,17,17,288,272
48010,63948,5093,6683,55,64,2899,681,20,11,336,99
38743,44107,4393,4930,54,58,2728,2127,21,17,340,272
45916,51410,4285,4716,55,56,2805,2094,20,19,404,318
37312,44470,4384,5006,57,56,3212,3007,18,19,343,337
42053,44942,4538,4834,53,55,2977,2849,22,20,427,371
43269,50307,6020,7108,65,64,856,717,10,11,132,114
43066,47954,6104,6829,63,65,1063,812,12,10,134,104
35257,38898,4948,5497,59,58,1408,1180,16,17,213,178
28216,33194,4062,4778,58,63,1110,650,17,12,136,80
34966,41536,4885,5599,56,59,1061,1054,19,16,165,156
31780,36039,4961,5589,63,65,814,762,12,10,127,117
47546,52414,6613,7247,62,62,1218,1208,13,13,167,167
35658,41361,5383,6198,64,63,630,627,11,12,98,99
34519,38764,4828,5467,56,56,1525,1472,19,19,200,193
44126,49480,6325,7101,65,63,913,879,10,12,126,123
71846,81635,7058,7911,60,63,1537,1202,15,12,191,147
61922,68141,7175,7636,66,65,964,1074,9,10,127,132
64780,70897,7058,7601,62,63,1190,875,13,12,129,87
63681,75951,6751,7980,63,64,1316,1281,12,11,142,149
84632,95308,8927,9576,63,63,1329,1073,12,12,148,121
71990,82104,7114,7934,63,64,1187,1058,12,11,130,110
60009,63451,6581,6730,59,61,1348,1239,16,14,166,148
89101,96126,9355,9791,61,62,1285,1235,14,13,169,142
64175,70864,6676,7152,60,60,1384,1056,15,15,175,136
65280,77668,6707,7725,57,60,1751,1186,18,15,210,143
38328,46229,5167,6072,57,59,1889,1564,18,16,277,223
37727,41645,5385,5960,56,61,2111,1556,19,14,276,205
30094,33806,4486,5118,54,53,2410,2230,21,22,362,332
28787,31996,4263,4722,53,55,2672,2759,22,20,395,402
41821,46109,5882,6496,59,62,1018,868,16,13,162,142
28508,32536,4405,4869,56,56,2589,2498,19,19,337,325
27612,32248,3922,4525,57,58,2353,1616,18,17,321,212
45398,48203,6128,6557,62,59,1769,1744,13,16,257,257
35799,42069,5146,5885,58,58,2066,1884,17,17,274,246
35491,38600,5211,5583,56,55,2464,2529,19,20,324,350
67601,79353,6894,7821,56,61,3070,2078,19,14,362,271
57301,69174,6772,7777,56,58,2667,2412,19,17,272,248
64294,76909,7047,8332,60,64,2427,972,15,11,280,143
63297,72859,6575,7390,57,61,2489,2351,18,14,284,267
54868,62544,5677,6452,59,60,2601,2590,16,15,285,285
56777,67208,5991,6990,60,65,2318,1544,15,10,249,173
72368,80746,7401,7835,60,60,2222,2532,15,15,255,298
67457,74426,7374,7813,62,62,1555,1449,13,13,175,159
56821,60792,6487,6847,60,61,2093,2019,15,14,253,257
57190,67018,6459,7376,60,61,1862,1484,15,14,240,210
26545,30651,3796,4430,63,63,1144,943,12,12,156,124
29725,35979,4105,5014,63,64,701,840,12,11,105,113
28760,33406,4134,4790,65,65,788,748,10,10,99,95
31833,34628,4700,5059,61,62,945,870,14,13,124,115
20996,24340,3228,3730,60,64,1014,920,15,11,142,129
23672,25877,3187,3529,56,57,1305,1254,19,18,188,178
29677,32981,3878,4340,62,64,721,512,13,11,99,74
24458,28760,3617,4217,57,60,1010,655,18,15,169,122
24299,31170,3501,4436,58,62,1039,815,17,13,183,151
21446,27471,2951,3831,52,57,1670,1551,23,18,246,222
58986,68635,5804,6873,65,69,854,346,10,6,98,37
46095,53646,4809,5581,62,63,1379,1263,13,12,167,154
59042,72534,5846,7013,64,68,1175,551,11,7,125,58
50328,58236,5478,6408,63,64,1148,932,12,11,139,118
47524,60054,4905,6271,62,66,1176,570,13,9,133,65
49018,61164,4956,6315,59,64,1620,959,16,11,192,123
40924,49723,4879,5895,60,64,1079,673,15,11,156,110
38508,46308,4255,5027,60,61,1361,1403,15,14,162,168
50194,58855,5526,6407,63,64,1220,767,12,11,153,91
58967,67611,5660,6528,63,67,1244,538,12,8,145,73
26802,31883,3627,4289,58,59,2183,1998,17,16,289,273
18183,22880,2538,3191,55,61,2024,1820,20,14,293,242
29042,33849,3804,4425,57,58,1768,1830,18,17,265,270
25316,29286,3554,4213,59,60,1640,1587,16,15,218,209
25521,27767,3467,3748,55,55,1966,1957,20,20,302,301
28864,30227,4138,4302,59,59,1691,1677,16,16,246,233
17814,20124,2634,2924,45,46,3471,2990,30,29,514,453
27261,31671,3720,4225,56,57,2510,2695,19,18,384,412
26945,29845,3790,4190,56,56,1929,1929,19,19,289,289
16992,21230,2540,3176,56,58,1780,1636,19,17,297,274
45761,51941,4922,5471,59,62,1791,1057,16,13,217,164
43817,50809,4562,5289,56,60,2789,2282,19,15,337,320
38712,43862,4368,4913,64,63,1631,1659,11,12,217,227
36899,43619,4071,4796,59,60,2411,2182,16,15,293,274
31972,36092,3689,4195,57,58,2071,2056,18,17,323,318
36011,44120,3819,4649,61,62,1726,1317,14,13,175,135
43270,46849,4654,5047,58,60,3159,2958,17,15,325,307
42112,48322,4060,4592,53,53,3067,2666,22,22,367,333
42331,47627,4521,5160,58,64,1343,1050,17,11,158,124
29673,39850,3266,4107,47,55,3716,2849,28,20,422,322
31732,37469,4595,5444,62,63,1193,1185,13,12,152,146
35502,41569,4859,5720,61,62,1277,1332,14,13,163,166
