TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
157148,182427,16883,19561,97,97,43,43,3,3,5,5
73684,81228,10004,11029,100,100,0,0,0,0,0,0
73332,78761,10573,11343,100,100,0,0,0,0,0,0
70605,85032,9947,11933,96,97,60,58,4,3,10,11
71605,78231,10247,11120,98,98,12,12,2,2,3,3
70408,77619,10032,11099,99,99,0,0,1,1,0,0
66493,74940,9795,11017,98,98,22,12,2,2,3,2
68427,80011,9254,10822,95,95,54,54,5,5,7,7
60141,67978,8850,9933,99,98,4,8,1,2,1,2
67855,72377,9901,10591,100,100,0,0,0,0,0,0
65109,70527,9346,10136,99,99,16,16,1,1,2,2
116936,126138,12019,12832,99,99,0,0,1,1,0,0
111898,119969,12821,13671,97,97,29,29,3,3,3,3
111926,127237,11915,13591,99,99,14,14,1,1,2,2
121102,135937,12993,14564,99,99,5,5,1,1,1,1
113365,126538,12454,13826,98,98,20,20,2,2,3,3
118801,133627,12017,13715,95,98,74,28,5,2,8,3
101574,118269,10840,12719,97,97,91,91,3,3,12,12
117055,130093,12182,13595,93,94,172,172,7,6,19,19
106624,119177,10905,12357,98,98,18,12,2,2,2,2
127771,140564,12871,14114,96,97,114,62,4,3,11,7
61681,68660,9127,10172,93,93,92,92,7,7,16,16
71078,78288,10054,11043,100,100,0,0,0,0,0,0
66219,72039,9605,10458,94,96,89,89,6,4,19,16
47805,57204,6948,8293,95,95,48,48,5,5,6,7
73373,81253,10864,12045,99,99,8,8,1,1,2,2
61657,72684,9275,10928,97,97,32,44,3,3,8,11
72464,81524,10002,11205,98,98,24,24,2,2,3,3
69620,78804,9903,11090,96,96,44,44,4,4,8,8
65072,71200,9255,10111,98,98,28,28,2,2,7,7
58006,65188,8933,9998,98,98,21,21,2,2,5,5
102884,112020,11533,12676,97,97,105,105,3,3,12,12
123994,131043,13097,13754,99,99,84,84,1,1,21,21
136483,145518,13871,14778,99,99,4,4,1,1,1,1
93727,107595,10867,12313,97,99,83,28,3,1,15,7
108173,121713,11434,12941,99,99,4,4,1,1,1,1
97025,112614,11187,12817,96,96,143,143,4,4,16,16
112675,123416,11449,12601,100,100,0,0,0,0,0,0
107235,124600,11292,13176,99,99,20,20,1,1,5,5
114871,126536,12315,13606,99,99,8,8,1,1,1,1
108388,113590,11692,12159,95,95,35,33,5,5,5,5
107736,124315,15290,17547,100,100,0,0,0,0,0,0
106467,117400,14233,15640,98,98,6,6,2,2,1,1
103418,112037,14170,15473,95,95,54,54,5,5,6,6
123023,137175,16398,18083,98,98,98,98,2,2,11,11
116945,132406,15859,18009,98,98,48,48,2,2,5,5
96457,107088,14226,15856,99,99,24,24,1,1,4,4
102767,118399,15006,17216,98,98,36,36,2,2,4,4
87927,100471,12658,14522,95,97,83,79,5,3,11,10
105185,124433,14248,16906,97,97,51,51,3,3,7,7
97599,115835,14009,16505,97,97,56,75,3,3,8,10
167078,179019,18403,19566,100,100,0,0,0,0,0,0
147688,166440,16625,18676,97,97,19,19,3,3,3,3
156564,181710,16295,19170,97,97,72,72,3,3,9,9
190137,202251,19886,21150,98,98,68,68,2,2,17,17
165922,182101,18154,19947,99,99,0,0,1,1,0,0
156992,177228,16572,19146,97,98,18,12,3,2,4,3
182454,193975,18699,20014,99,99,4,4,1,1,1,1
140481,154958,15352,16777,99,97,8,17,1,3,1,4
180521,196783,18405,20026,100,100,0,0,0,0,0,0
168243,187456,18738,20810,98,98,44,27,2,2,6,3
96468,105081,14264,15461,98,98,60,60,2,2,6,6
114426,125765,15414,17005,99,99,0,0,1,1,0,0
116381,124830,17402,18716,99,99,8,8,1,1,2,2
106132,122393,14765,17198,97,99,61,8,3,1,8,2
98101,112746,13470,15677,96,95,120,146,4,5,18,23
115888,123544,15838,17012,98,98,46,46,2,2,5,5
83211,93722,13125,14732,96,96,48,48,4,4,9,9
97702,114795,13867,16342,97,96,82,94,3,4,11,14
100321,110164,14715,16066,96,96,137,137,4,4,16,16
103199,117215,14797,16870,98,98,10,10,2,2,2,2
155461,187999,17443,20957,99,99,0,24,1,1,0,6
194172,215450,20691,22772,100,100,0,0,0,0,0,0
158942,183126,18533,20939,97,97,47,47,3,3,7,7
164257,176550,17866,18985,100,100,0,0,0,0,0,0
157914,173246,18102,19913,97,97,55,55,3,3,6,6
170780,185105,17616,18855,99,99,8,8,1,1,2,2
141442,160905,16125,18420,95,96,92,80,5,4,13,10
196479,215997,19958,22166,99,99,4,4,1,1,1,1
186529,211424,20295,22939,99,99,42,42,1,1,7,7
183960,200361,19112,20685,98,98,36,36,2,2,6,6
