TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
76,1200,18,113,2,9,853,153,10,3,92,28
52,63,4,5,1,2,710,483,11,10,93,66
0,18,0,2,0,1,782,583,12,11,124,100
0,262,0,44,0,6,1194,200,12,6,191,36
114,159,21,21,5,4,361,224,7,8,67,41
14,468,2,74,1,9,860,168,11,3,150,36
34,202,6,26,2,5,618,536,10,7,91,93
0,0,0,0,0,0,1387,1387,12,12,175,175
77,588,17,62,2,8,944,86,10,4,104,9
0,16,0,4,0,1,1529,1178,12,11,199,153
8,8,1,1,1,1,870,870,11,11,113,113
18,355,3,60,1,9,998,80,11,3,120,11
227,666,37,81,5,9,541,125,7,3,80,22
424,1691,67,241,5,12,543,0,7,0,75,0
157,192,20,26,5,6,488,96,7,6,75,14
191,689,26,116,6,10,195,88,6,2,37,16
207,1169,32,158,5,11,491,36,7,1,72,9
213,271,27,28,3,4,606,580,9,8,82,80
467,1235,44,121,6,10,341,84,6,2,37,12
183,847,40,107,4,10,359,12,8,2,46,3
175,652,20,64,4,7,266,190,8,5,40,35
295,904,36,79,6,10,675,14,6,2,67,2
210,385,30,55,4,8,458,148,8,4,77,27
0,384,0,55,0,9,725,71,12,3,97,13
60,152,8,21,2,5,763,434,10,7,122,75
0,77,0,13,0,2,1058,522,12,10,163,76
45,170,9,31,1,4,946,328,11,8,131,47
0,47,0,5,0,2,1371,603,12,10,173,79
70,638,10,72,2,9,1038,84,10,3,120,14
69,1077,12,144,2,11,1036,54,10,1,119,9
122,1523,14,146,3,12,1076,0,9,0,120,0
558,1184,51,115,7,9,429,101,5,3,48,15
