TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
98,1599,10,219,3,7,587,462,9,5,81,43
6,2064,1,256,1,12,908,0,11,0,97,0
52,346,4,32,1,4,710,574,11,8,93,69
0,385,0,85,0,5,1101,718,12,7,158,89
0,328,0,74,0,4,1194,967,12,8,191,135
114,294,21,61,5,6,361,325,7,6,67,49
14,800,2,143,1,7,909,361,11,5,156,69
34,996,6,146,2,9,779,314,10,3,118,41
0,272,0,44,0,5,1335,1056,12,7,155,109
38,1048,8,147,2,8,903,353,10,4,104,35
0,505,0,77,0,6,1613,1159,12,6,212,139
8,657,2,95,1,5,1499,778,11,7,189,102
18,529,3,117,1,6,979,1479,11,6,120,164
265,1252,35,229,3,9,711,171,9,3,111,19
386,1508,52,247,5,11,499,27,7,1,70,3
165,2062,20,312,5,11,467,168,7,1,73,21
274,1652,42,278,5,10,173,52,7,2,32,10
238,1287,34,210,4,10,419,216,8,2,65,24
213,1817,27,255,3,9,606,359,9,3,82,41
584,3356,60,381,6,10,578,115,6,2,73,16
183,1404,40,246,4,9,359,304,8,3,46,36
334,2549,48,342,8,9,427,388,4,3,47,37
501,2460,57,315,9,10,436,169,3,2,44,13
210,1043,30,159,4,4,458,726,8,8,77,116
34,1100,7,203,2,8,749,861,10,4,106,99
60,1412,8,212,2,9,763,392,10,3,122,47
0,378,0,69,0,5,943,684,12,7,154,88
45,492,9,92,1,6,977,720,11,6,131,93
14,1498,2,198,1,8,984,623,11,4,118,53
70,1241,10,175,2,9,1415,590,10,3,162,66
69,1614,12,291,2,10,1010,512,10,2,119,41
98,1923,11,207,3,9,677,721,9,3,74,56
557,1179,49,121,7,8,324,440,5,4,38,48
