TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
144,2304,12,235,1,9,1243,314,11,3,124,31
77,1281,7,152,1,9,474,513,11,3,55,51
42,1876,7,219,1,10,960,6,11,2,99,1
52,2358,4,247,1,9,790,375,11,3,91,36
0,230,0,39,0,4,1131,522,12,8,156,99
0,393,0,77,0,5,1213,645,12,7,194,99
125,1076,20,134,6,7,236,284,6,5,46,54
28,911,4,144,1,8,775,391,11,4,134,77
34,790,6,106,2,6,811,359,10,6,122,66
0,132,0,20,0,4,1339,1417,12,8,146,169
38,1253,8,164,2,8,903,319,10,4,104,39
0,553,0,68,0,5,1736,1020,12,7,234,146
8,1262,2,133,1,6,1488,713,11,6,193,99
18,470,3,79,1,8,998,195,11,4,120,23
227,1032,37,148,5,8,541,189,7,4,80,34
382,1563,60,246,5,10,543,51,7,2,75,7
173,1755,24,232,6,9,276,243,6,3,38,31
248,1748,41,267,4,11,224,8,8,1,40,2
238,1036,34,134,4,8,419,203,8,4,65,36
213,1227,27,135,3,6,606,271,9,6,82,32
467,3500,44,338,6,10,341,189,6,2,37,27
189,2400,24,348,4,10,324,245,8,2,52,32
175,1571,20,150,4,7,266,325,8,5,40,51
295,1209,36,130,6,9,662,165,6,3,66,14
210,1770,30,257,4,7,458,449,8,5,77,70
0,1618,0,264,0,9,1102,309,12,3,149,40
60,613,8,88,2,5,763,822,10,7,122,130
0,229,0,31,0,4,1220,768,12,8,193,123
45,497,9,81,1,5,988,583,11,7,137,80
22,1286,4,144,2,8,1713,391,10,4,188,37
70,1799,10,204,2,6,1425,739,10,6,162,99
69,952,12,131,2,6,1010,484,10,6,119,64
82,1260,10,136,2,7,1059,1390,10,5,114,123
558,2202,51,213,7,10,429,378,5,2,48,42
