TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
77,347,7,41,1,4,474,512,11,8,55,69
16,785,2,76,1,6,986,643,11,6,102,78
52,506,4,43,1,6,790,304,11,6,91,49
0,238,0,38,0,4,1094,760,12,8,164,111
0,226,0,47,0,3,1176,1091,12,9,189,177
125,1025,20,150,6,7,266,439,6,5,54,71
15,515,2,89,2,7,961,512,10,5,171,102
34,406,6,52,2,5,776,600,10,7,115,101
0,171,0,20,0,2,1571,1209,12,10,180,146
50,691,9,82,2,7,1023,921,10,5,117,91
0,182,0,23,0,2,1675,1527,12,10,230,206
8,457,1,44,1,4,1224,976,11,8,164,129
17,100,4,21,2,3,1108,1084,10,9,133,136
260,327,35,38,6,4,340,500,6,8,48,84
337,621,55,92,6,6,464,617,6,6,66,91
157,669,20,81,5,5,488,395,7,7,75,65
191,716,26,110,6,7,195,325,6,5,37,61
238,489,34,59,4,6,419,283,8,6,65,55
213,550,27,46,3,3,606,821,9,9,82,105
467,1464,44,156,6,6,341,494,6,6,37,59
183,449,40,59,4,7,359,480,8,5,46,63
175,275,20,41,4,6,266,409,8,6,40,44
295,771,36,86,6,5,662,527,6,7,66,61
210,941,30,134,4,9,458,246,8,3,77,49
0,125,0,24,0,4,1076,554,12,8,147,75
74,544,10,72,4,6,816,857,8,6,133,134
0,111,0,17,0,3,1182,841,12,9,184,138
53,326,10,54,2,5,799,980,10,7,115,136
0,223,0,24,0,3,1358,1061,12,9,172,153
70,555,10,71,2,4,1171,1066,10,8,124,126
130,1195,28,179,2,8,1011,496,10,4,132,51
202,1357,24,133,4,9,776,1019,8,3,88,101
558,1453,51,136,7,8,429,348,5,4,48,37
