Instance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
72,15300,8375,1550,6375,9750,8800,6400,7000,0,0,0,0,0,0,0,0
73,566000,511000,232000,40000,45000,17000,45000,350000,4000,0,0,0,0,4000,0,4000
74,487.96,675,509.26,120.37,316.67,348.15,130.56,770.37,0,0,0,0,0,0,0,0
75,1156.25,1256.25,183.33,414.58,1041.67,404.17,527.08,925,0,0,0,0,0,0,0,0
76,291.22,401.4,276.45,342.12,252.3,223.15,372.65,272.85,0,0,0,0,0,5.79,0,0
77,415.27,589.31,283.97,114.5,90.84,396.18,203.82,386.26,0,41.98,10.69,0,0,0,0,0
78,271000,349000,35000,36000,174000,196000,36000,279000,0,0,0,0,0,0,0,0
79,1341.67,1355.95,236.9,0,134.52,302.38,0,92.86,0,92.86,0,0,0,0,0,0
80,721000,443000,110000,0,40000,194000,0,1078000,0,0,0,0,0,0,0,0
81,1037.19,396.69,158.68,563.64,262.81,376.03,607.44,1009.09,0,1.65,0,50.41,14.88,0,14.88,39.67
82,798.41,774.6,226.98,26.98,212.7,346.03,26.98,692.06,0,26.98,0,0,0,0,26.98,26.98
83,2455.17,2972.41,417.24,0,296.55,355.17,0,4148.28,0,27.59,0,0,0,0,0,0
84,747000,393000,156000,308000,126000,333000,96000,554000,63000,0,0,0,0,0,0,0
85,702.86,365.71,471.43,968.57,605.71,702.86,997.14,1214.29,2.86,0,2.86,2.86,57.14,2.86,45.71,2.86
86,1033,1320,647,13,308,275,313,1122,0,80,0,0,0,0,0,0
87,501.2,491.02,387.43,84.43,22.16,125.75,782.63,835.33,35.33,49.1,7.78,49.1,0,0,0.6,22.16
88,199.66,249.44,54.04,99.44,39.66,80.11,99.44,203.26,9.44,9.44,0,0,0,0,10.34,5.96
89,550000,1028000,181000,381000,375000,137000,414000,542000,0,13000,0,0,0,0,0,6000
90,6600,2427.27,1481.82,1381.82,2363.64,3213.64,1195.45,5231.82,213.64,63.64,0,63.64,104.55,0,154.55,86.36
91,692000,735000,57000,0,189000,182000,42000,660000,0,0,0,0,0,0,0,0
92,357000,259000,81000,49000,81000,86000,263000,347000,8000,22000,0,0,0,0,0,6000
93,200000,307000,96000,110000,84000,221000,169000,307000,12000,0,0,21000,0,6000,0,0
94,84000,321000,213000,53000,41000,40000,53000,311000,0,0,0,0,0,0,0,0
95,284000,280000,165000,4000,138000,80000,4000,192000,4000,4000,4000,4000,0,0,4000,0
96,5183.33,1733.33,1050,1700,1375,1500,1091.67,4037.5,358.33,16.67,25,75,0,25,16.67,0
97,1129.63,2627.78,607.41,812.96,694.44,937.04,731.48,712.96,1.85,29.63,0,0,1.85,31.48,0,1.85
98,4800,7458.33,750,1333.33,0,50,1333.33,5441.67,0,50,0,0,0,0,0,0
99,970000,656000,284000,696000,266000,589000,637000,968000,0,26000,0,0,0,0,13000,26000
100,1133.33,1539.74,634.62,993.59,475.64,482.05,957.69,1189.74,0,16.67,0,0,0,16.67,0,0
101,120.99,462.96,197.84,475.31,183.95,78.09,111.11,449.38,0,0,0.31,27.47,3.09,0,0,4.63
102,680.18,781.08,621.62,344.14,242.34,180.18,547.75,921.62,3.6,112.61,3.6,0,3.6,3.6,0,0
103,834.17,607.5,80,105.83,145.83,134.17,110,783.33,15.83,19.17,0,0,0,0,0,0
104,218.13,411.33,51.84,166.86,79.32,94.62,111.9,197.73,20.96,14.45,3.4,26.06,0,3.4,14.45,0
105,64.1,237.23,291.76,51.06,115.43,83.51,49.47,301.06,0,4.26,17.82,0,1.6,0.53,6.38,0.53
106,89.32,209.86,85.83,109.03,96.3,86.86,99.79,148.67,0,31.62,0,30.18,30.18,36.34,30.18,37.78
107,949.06,496.23,664.15,193.4,306.6,182.55,251.42,779.72,31.13,16.04,47.64,0,9.43,0,0,14.15
108,443.36,617.86,186.49,229.63,122.88,147.49,300.87,627.02,25.05,28.54,0,0,0,0,4.36,0
109,421.52,593.64,294.24,482.12,189.7,66.36,508.79,868.18,0,31.21,35.15,20.3,0,21.21,46.06,0
110,357.19,381.58,169.3,81.58,146.84,166.49,430.88,314.91,0,0,0,0,0,0,0,0
111,3238.1,3219.05,2004.76,885.71,1695.24,1952.38,2114.29,4423.81,442.86,71.43,61.9,0,0,71.43,0,71.43
112,1356,867,333,477,1008,576,597,1402,0,0,0,0,39,0,0,0
113,4225,5150,593.75,487.5,543.75,150,631.25,781.25,0,0,0,0,0,0,0,0
114,390000,300000,144000,0,23000,103000,0,353000,0,0,0,0,0,0,0,0
115,758.97,624.36,305.13,314.1,620.51,502.56,444.87,920.51,39.74,58.97,0,26.92,0,12.82,29.49,158.97
116,2178.57,3871.43,3146.43,1253.57,1992.86,2596.43,2346.43,4242.86,0,242.86,232.14,407.14,100,0,0,0
117,140.67,321.85,49.41,147.06,108.57,107.56,103.87,147.23,0,0,3.53,0,3.53,3.53,0,0
118,610000,324000,434000,276000,242000,230000,51000,944000,0,0,0,0,0,0,8000,30000
119,9052.38,10819.05,1219.05,2042.86,28.57,938.1,2042.86,12247.62,0,171.43,0,0,0,0,100,128.57
120,474000,1503000,186000,60000,256000,189000,209000,627000,0,0,0,0,0,0,0,0
121,1098.46,992.31,61.54,60,113.85,393.85,207.69,2138.46,0,0,0,0,0,0,0,0
122,2731.25,3956.25,2800,668.75,1056.25,825,1181.25,4125,218.75,356.25,0,0,0,0,0,0
123,307000,111000,78000,7000,78000,165000,46000,364000,0,0,0,0,0,0,0,0
124,763.38,721.13,1166.2,236.62,1280.28,1267.61,88.73,936.62,0,0,0,0,0,46.48,0,0
125,1067000,425000,117000,266000,317000,280000,306000,1171000,9000,0,0,0,0,0,0,0
126,1673.68,1392.11,334.21,150,757.89,621.05,675,1198.68,57.89,57.89,0,57.89,0,57.89,0,57.89
127,1253.79,1917.42,81.82,347.73,722.73,203.03,340.91,1645.45,9.09,54.55,0,0,0,0,0,9.09
128,1976.62,2324.68,341.56,0,411.69,350.65,0,1563.64,27.27,0,0,0,0,0,0,0
129,2064000,1405000,76000,1200000,444000,785000,1152000,1876000,6000,24000,0,76000,0,16000,6000,42000
130,565.38,4617.31,2178.85,21.15,2059.62,873.08,0,4434.62,0,196.15,163.46,0,175,0,0,0
131,385000,484000,0,18000,24000,238000,216000,230000,0,0,0,0,0,0,0,0
132,328000,325000,62000,262000,6000,226000,262000,393000,0,8000,0,0,0,0,0,0
