Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
301,113.58,123.89,75.63,69.88,61.63,52.35,73.96,87.26,55.01,26.13,105.51,32.31,21.3,3.66,51.38,73.78
302,96.26,117.77,57.8,66.98,70.13,9.63,82.7,60.54,46.07,30.52,91.06,29.59,14.74,0.79,73.68,42.67
303,99.94,84.05,66.66,49.31,45.87,22.57,73.74,58.14,36.76,28.58,50.28,25.08,19.7,3.88,27.82,34.96
304,72.87,97.84,64.86,85.08,44.17,17.17,81.65,79.88,39.19,29.19,59.81,29.9,17.16,3.01,36.07,42.88
305,178.28,142.55,85.82,96.27,41.12,45.28,112.68,78.6,69.55,46.56,135.62,42.9,18.02,1.82,78.08,80.98
306,132.05,136.63,59.57,103.27,39.22,23.11,63.79,53.94,67.25,26.77,70.56,27.12,12.45,1.13,59.42,60.41
307,126.99,138.66,54.44,96.5,42.05,25.75,88.94,71.46,46.2,34.96,96.15,27.13,8.89,0.57,41.9,45.43
308,143.53,172.86,127.68,96.75,89.36,30.64,131.14,95.47,69.46,68.27,95.67,54.6,32.14,5.43,77.71,91.6
309,99.9,101.66,73.23,53.83,42.29,10.81,56.17,55.17,20.32,30.58,68.52,13.03,3.93,0.15,42.75,39.32
310,137.15,102.85,79.54,102.26,57.82,18.06,100.07,111.3,33.22,50.88,73.66,37.8,24.45,2.38,60.41,57.1
311,96.64,93.44,69.24,38.2,47.1,23.39,40.16,37.3,32.75,22.07,20.99,16.21,18.44,2.72,34.34,39.82
312,134.74,133.44,81.27,67.58,82.74,46.13,83.23,77.64,60.28,33.47,69.17,31.16,26.91,5.38,69.95,79.59
313,125.59,142.99,66.3,59.37,46.71,14.05,60.42,56.63,37.51,28.89,27.52,22.56,25.02,1.38,43.58,47.09
314,62.82,89.07,64.29,38.02,57.81,17.16,36.23,37.79,28.67,21.35,10.49,14.74,12.34,1.24,21.18,17.58
315,56.98,59.45,50.05,73.03,26.32,21.78,57.2,53.4,15.96,10.06,12.84,18.72,8.17,0.91,14.86,18.17
316,68.25,66.04,54.2,43.77,42.42,20.26,45.23,43.12,25.51,16.33,17.53,15.13,13.38,2.62,22.18,28.08
317,94.82,91.16,65.87,36.79,31.15,7.22,57.84,79.16,29.09,19.2,70.07,18.64,9.21,0.55,32.14,38.89
318,81.89,116.39,105,49.27,64.61,27.27,86.12,68.81,38.88,33.36,25.35,28.02,35.74,5.52,51.51,47.28
319,89.87,94.89,43.89,53.89,26.59,6.16,58.89,61.66,32.4,9.55,20.53,24.18,0.33,0,27.77,40.09
