Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
455,68.3,63.67,49.12,43.36,43.87,29.16,62.42,42.96,26.78,37.46,55.21,27.27,19.09,5.33,34.68,37.75
456,61.49,66.24,49.92,40.64,44.08,7.94,52.41,50.54,24.06,33.74,53.12,20.57,21.14,0.95,29.91,26.11
457,69.47,102.84,79.42,55.68,49.45,20.14,75.87,72.2,41.77,50.7,79.16,27.55,25.78,3.94,39.36,40.14
458,99.72,99.59,90.15,71.65,73.65,33.3,101.08,87.04,48.87,61.59,92.08,57.69,46.27,10.97,64.29,66.58
459,73.83,63.13,57.86,38.84,36.55,16.42,53.21,53.54,34.22,32.39,56.1,28.31,23.01,3.65,36.81,42.01
460,96,99.77,59.86,69,43.64,24.23,89.42,83.25,47.03,39.13,78.75,37.03,31.27,5.88,59.23,58.69
461,93.32,82.6,88.68,73.5,67.93,17.01,90.37,88.63,48.64,54.7,63.34,61.19,45.9,3.1,51,59.53
462,69.75,66.23,45.58,59.35,42.38,23.31,71.94,62.32,37.74,32.82,52.35,43.63,24.7,7.55,41.9,45.77
463,86.74,79.65,72.48,74.41,48.48,18.54,66.53,63.79,52.13,41.28,55.94,48.65,26.19,3.96,50.84,49.38
464,159.67,144.58,110.69,91.46,55.91,32.63,109.63,84.65,97.79,78.43,114.07,44.03,36.33,6.67,86.77,88.68
465,85.87,89.19,65.11,50.77,62.93,17.51,90.72,68.27,47.89,53.16,62.62,43.94,34.51,3.38,55.14,48.99
466,66.05,75.95,62.88,39.41,31.67,19.99,56.33,54.81,45.28,33.05,57.18,21.66,12.51,2.06,46.72,45.97
467,105.78,92.12,106.2,84.18,76.51,27.77,100.06,86.04,58.59,66.95,76.01,53.49,36.79,7.26,60.55,64.95
468,109.39,120.69,78.19,95.74,63.53,39.39,109.14,95.02,67.71,54.68,88.99,58.11,34.63,9.94,75.72,78.47
469,119.46,135.03,109.77,100.72,73.44,28.01,155.18,128.39,70.6,69.67,101.43,74.45,42.41,5.05,68.96,76.43
470,60.15,62.55,40.43,45.27,30.43,15.74,57.79,38.53,25.55,34.44,42.22,27.35,15.62,3.9,36.47,37.55
471,108.94,112.62,93.08,74.35,61.8,22.92,88.47,82.73,43.3,68.2,95.55,42.48,42.21,4.66,57.8,58.51
472,93.14,116.96,73.92,59.85,47.99,27.51,89.51,77.7,38.09,47.58,86.8,43.29,22.32,4.26,62.18,63.96
473,76.14,121.01,100.76,88.58,89.66,58.94,88.44,75.83,47.68,68.54,85.22,49.53,59.64,18.78,59.56,68.76
474,45.95,78.6,45.61,46.49,34.98,10.93,54.21,52.54,24.32,30.65,54.73,26.35,17.03,1.52,25.08,35.3
475,67.89,77.16,48.39,51.28,28.54,20.83,63.08,44.86,34.99,28.38,59.68,28.36,8.48,0.93,36.03,38.74
476,86.78,93.67,68.21,74.1,64.86,34.39,87.67,78.89,45.3,57.77,77.84,49.31,35.21,12.63,43.79,47.7
477,96,103.51,97.06,80.06,59.61,34.26,90.43,85.99,57.22,66.93,90.69,57.45,35.55,11.34,68.87,65.26
478,75.9,92.97,50.7,50.59,37.13,10.31,64.07,64.22,41.07,35.76,71.84,30.52,18.83,1.14,46.26,48.37
479,87.95,141.37,92.07,72.58,50.22,20.77,99.24,107.93,61.2,54.1,110.82,51.96,31.84,3.05,69.26,69.56
480,60.3,85.91,61.49,41.44,47.43,21.42,59.92,35.01,34.73,43.42,61.65,25.4,28.08,5.34,32.35,36.52
481,86.68,65.47,59.58,62.6,29.32,10.25,73.94,74.63,54.09,42.39,57.4,48.22,24.46,1.21,51.59,52.05
482,110.52,108.86,101.98,97.45,50.08,13.08,99.31,93.12,74.38,63.33,81.26,64.03,36.22,1.55,81.82,76.94
483,68.27,49.17,64.05,59.46,41.43,11.65,62.57,60.66,39.94,38.64,49.17,31.77,30.68,1.99,45.1,44.28
484,79.98,73.15,75.48,52.19,44.67,12.38,72.98,55.05,50.46,51.14,63.68,41.48,25.3,1.92,58.84,59.73
485,63.58,64.35,58.96,47.35,42.56,7.63,60.81,52.9,40.06,41.02,47.25,29.49,20.34,0.9,48.1,43.44
486,71.79,71.47,54.23,55.23,34.58,7.91,74.74,76.72,47.56,42.57,45.32,35.9,25.24,0.82,46.52,40.35
487,75.21,86.72,51.54,70.15,38.19,15.14,69.24,71.02,45.96,51.54,60.77,56.8,25.53,2.64,59.56,47.49
488,67.14,69.2,78.41,80.09,45.31,12.82,80.7,83.17,49.67,51.61,54.39,52.73,31.35,1.97,53.98,56.95
489,597.27,568.23,567.3,503.85,505.35,417.69,564.82,525.03,437.84,494.44,538.24,431.19,418.62,292.1,470.52,497.78
490,50.49,57.01,39.34,50.38,31.17,10.81,54.41,44.56,30.62,27.88,31.61,34.67,20.51,2.05,31.16,37.26
491,67.43,80.67,72.58,57.41,48.21,10.33,55.28,51.66,40.98,53.39,63.73,41.84,25.94,1.32,40.81,46.74
492,49.31,55.95,44.32,36.68,30.37,8.38,37.56,36.54,30.7,31.58,43.79,19.57,22.97,1.25,29.4,21.6
493,84.18,104.3,66.71,68.15,43.13,10.29,80.72,73.45,50.23,54.19,90.23,48.39,24.69,1.02,60.22,60.04
494,82.04,111.15,75.4,66.12,33.47,3.13,75.98,71.82,54.81,59.22,88.18,52.72,24.37,0.09,44.84,55.09
495,45.85,66.61,30.08,49.55,39.81,5.31,46.07,37.06,22.53,26.18,51.28,23.08,21.45,0.42,26.24,35.46
496,76.44,69.81,64.01,60.9,34.66,10.62,61.72,54.18,40.19,42.46,62.02,46.98,21.81,1.48,44.5,41.66
497,64.53,67.28,50.69,46.54,40.22,12.65,55.46,55.38,33.95,42.04,59.15,36.7,26.44,2.38,35.48,32.56
498,61.33,55.9,42.33,38.63,27.08,5.48,46.7,37.9,26.33,34.47,49.28,27.97,16.91,0.49,24.94,25.54
499,82.74,94.14,67.97,66.58,45.73,8.51,68.54,76.65,54.71,40.38,78.9,38.51,22.04,0.77,60.42,56.5
500,52.5,85.13,65.26,52.91,43.58,13.67,66.89,61.63,52.5,53.25,60.03,34.97,27.64,2.2,47.59,51.06
501,91.55,102.25,82.91,103.88,49.65,21.37,109.7,97.1,62.87,59.8,78.95,65.38,29.8,4.16,80.69,77.76
502,75.78,71.33,68.53,58.98,49.1,14.91,59.1,52.53,49.88,46.73,61.58,44.31,27.79,2.93,59.26,49.66
503,78.03,72.64,63.22,56.43,49.31,13.01,81.87,86.19,43,42.22,50.48,45.83,36.16,1.96,48.79,47.53
504,70.6,57.93,50.19,55.19,39.29,11.26,65.59,56.69,45.52,37.56,49.43,33.63,26.05,1.8,39.24,44.47
505,79.16,74.27,66.15,61.94,57.59,15.12,68.36,61.55,50.11,45.35,54.81,39.33,28.5,2.89,48.08,46.6
506,92.46,100.05,79.33,116.22,58.63,8.02,104.01,74.82,59.51,50.82,82.11,75.11,26.6,0.55,60.56,71.5
507,55.91,83.99,67.13,81.02,52.69,13.72,94.45,73.62,55.91,51.15,61.82,56.81,30.31,1.99,58.14,66.25
508,114.31,102.11,100.32,81.57,76.92,44.83,85.5,99.46,62.8,76.08,77.58,69.55,50.68,17.58,76.43,69.77
509,75.14,62.5,69.52,58.31,48.45,17.42,57.54,58.78,42.27,46.72,52.54,50.7,27.99,4.04,42.58,52.31
510,88.98,74.43,81.42,84.3,64.42,15.62,76.06,92.52,52.79,53.75,61.84,59.94,36.99,2.64,60.64,61.83
511,71.04,89.56,81.41,70.92,47.77,16.57,82.66,67.66,46.91,54.77,73.59,45.84,35.3,3.07,57,62.53
512,67.24,71.45,53.27,56.15,24.45,6.71,61.15,60.08,37.27,36.51,56.48,43.57,16.36,0.63,37.79,32.38
513,96.82,110.74,103.64,80.11,50.79,16.44,85.52,91.94,67.58,64.58,86.02,61.74,35.85,2.44,66.41,69.67
514,64,66.18,51.97,55.21,39.89,6.5,57.87,52.59,40.92,40.52,52.62,37.56,21.5,0.64,40.34,33.96
515,74.95,78.75,39.48,52.14,37.15,7.32,52.75,56.63,45.4,31.17,66.8,39.13,17.44,0.68,41.34,45.81
516,72.09,78.67,60.3,55.2,30.26,10.03,53.07,59.3,41.01,44.18,59.44,37.42,22.4,1.28,48.88,42.92
517,82.1,88.25,55.89,36.51,43.4,10.5,61.65,56.58,43.1,36.61,65.54,30.11,22.97,1.25,50.46,49.07
518,60.04,73.28,42.66,33.56,28.64,13.23,40.97,28.36,33.4,33.2,63.9,23.08,18.3,2.39,34.89,30.26
519,52.43,71.61,63.87,49.66,40.84,8.95,62.74,59.09,35.24,44.47,61.37,37.75,19.94,1.12,38.58,42.16
520,53.13,73.05,60.53,57.19,40.7,13.89,73.53,63.09,30.36,38.11,56.56,42.86,27.95,2.62,38.35,42.54
521,85,94.57,84.06,79.52,52.56,25.16,96.29,90.59,60.72,72.26,77.49,61.61,34.45,6.57,55.98,69.4
522,94.19,85.35,91.97,69.23,43.74,11.62,96.39,81.95,61.88,59.99,67.44,53.32,33.2,1.4,60.37,69.11
523,94.49,95.13,84.84,87.25,42.78,10.33,91.06,89.35,68.74,73.44,78.29,66.33,25.31,1.12,70.63,69.69
524,73.94,73.72,68.65,47.01,34.41,8.83,63.47,71.84,49.34,49.4,64.45,36.11,19.08,1.05,57.96,55.39
525,88.66,91.01,81.25,71.97,34.91,10.26,89.24,83.83,55.63,59.24,70.04,52.58,25.47,1.16,63.51,57.99
526,61.62,48.11,59.5,48.85,38.75,13.36,60.23,42.71,34.88,39.73,39.29,25.53,23.28,2.9,39.24,37.54
527,74.99,78.17,66.87,64.92,42.78,9.56,75.06,73.35,49.85,51.8,58.55,50.39,25.91,1.17,55.23,48.43
528,80.97,86.83,89.19,55.93,35.16,2.94,75.98,75.57,53.7,55.08,76.49,43.29,21.92,0.1,66.54,62.95
529,88.37,78.26,76.47,72.35,43.83,7.81,90.81,80.57,53.29,61.87,71.61,43.89,32.92,0.67,65.58,67.79
530,74.64,59.43,66.87,52.46,41.49,5.47,66.89,66.39,47,51.7,51.66,43.09,28.9,0.4,47.19,49.91
531,65.94,73.48,46.42,44.56,26.34,12.21,53.96,54.78,41.65,34.9,65.66,29.06,14.5,2.03,36.55,38.48
532,93.77,93.84,87.33,51.02,38.11,2.35,77.42,75.44,55.04,58.1,89.74,40.29,22.21,0.06,60.29,61.35
533,51.85,64.93,59.81,45.53,32.03,6.53,44.8,54.19,31.04,42.56,53.61,33.52,22.33,0.66,38.64,36.2
534,43.61,58.88,38.32,27.17,21.85,3.55,38.01,36.59,23.04,26.46,51.6,16.95,11.29,0.21,28.79,31.78
535,54.9,70.63,63.14,32.36,39.56,8.08,50.43,55.13,39.47,42.68,58.48,20.04,20.05,0.92,36.51,41.72
536,48.26,65.58,75,56.04,41.47,3.96,78.2,65.73,33.23,55.36,56.14,46.83,33.64,0.2,45.75,48.34
537,65.6,84.68,67.16,46.18,33.96,5.34,77.58,63.32,48.54,54.22,71.8,31.28,21.01,0.34,50.85,48.91
538,73.47,84.26,77.73,51.99,42.39,8.64,65.73,58.31,52.59,53.03,74.38,34.1,25.3,0.89,46.48,46.42
539,71.92,81.78,60.57,48.41,35.04,12.9,63.42,70.54,52.19,45.14,78.12,34.95,21.71,2.03,47.25,50.02
540,63.56,72.45,53.35,40.39,33.47,10.65,61.55,54.96,38.27,41.78,66.25,29.81,18.45,1.56,45.23,37.45
541,95.42,83.61,88.84,73.45,52.79,7.16,95.67,95.83,63.83,68.91,73.64,62.91,41.09,0.54,62.05,65.19
542,90.54,87.82,85.18,76.13,42.96,12.31,92.13,77.29,61.91,57.01,66.75,54,24.13,1.64,57.87,61.43
543,84.9,72.15,81.42,64.98,44.3,3.8,85.26,92.86,60.06,49.34,68.22,56.56,26.33,0.16,67.24,65.28
544,85.91,101.99,105.03,74.65,48.38,8.07,98.55,92.29,67.98,80.3,87.87,52.59,40.89,0.62,84.18,76.67
545,89.15,84.7,89.31,80.14,53.13,12.14,100.71,92.99,55.45,64.29,76.84,52.43,26.32,1.46,68.29,72.3
546,76.77,80.67,83.63,90.05,40.9,20.39,102.83,85.99,57.6,66.67,68.4,71.3,27.14,4.04,61.26,67.58
547,74.85,69.52,78.54,60.97,44.96,17.34,77.8,87.39,51.94,57.23,58.57,49.11,29.98,3.44,51.67,54.44
548,80.88,83.56,81.41,77.54,55.29,9.32,101.19,81.93,60.92,61.12,64.64,49.68,34.4,0.86,63.73,54.6
549,62.15,83.16,82.01,87.62,39.13,13.18,90.56,73.51,43.38,62.34,71.55,58.71,27.34,1.92,55.07,59.67
550,88.69,93.09,87.98,80.27,40.75,15.41,87.45,103.41,56.45,59.97,71.2,61.2,20.42,2.3,66.37,59.83
551,84.12,93.78,69.58,49.62,42.35,9.5,78.94,51.97,52.59,48.13,81.98,40.61,24.25,0.96,57.75,56.03
552,65.28,67.88,63.22,52.51,27.42,6.38,60,51.9,36.1,43.18,62.85,42.54,13.69,0.6,45.93,47.28
553,48.1,56.28,44.41,35.34,31.42,8.42,50.12,41.87,37.35,32.42,51.6,25.68,14.7,1.26,29.65,29.23
554,66.83,81.35,79.41,54.7,34.46,7.07,69.18,54.29,45.18,67.36,78.59,43.5,27.45,0.62,55.09,54.28
555,64.2,93.24,85.78,73.35,49.41,15.65,80.81,65.16,41.4,58.08,67.19,49.38,29.26,2.63,48.01,43.44
556,62.22,81.32,72.69,57.67,31.75,6.53,53.19,62.54,42.71,49.21,73.23,39.29,17.33,0.52,40.5,42.59
557,65.64,83.4,76.95,54.44,46.14,13.59,72.9,69.05,54.67,54.29,75.79,40.45,26.97,2.21,44.34,53.43
558,77.13,77.62,71.22,46.96,35.39,9.76,73.2,64.61,41.76,54.31,66.72,40.06,18.89,1.23,49.56,48.92
559,75.17,91.08,89.16,67.11,40.72,8.8,101.6,84.82,62.99,62.68,87.32,48.65,23.39,0.76,58.65,65.85
560,75.46,86.1,78.26,57.53,55.78,18.23,78.82,69.05,46.85,56.85,74.27,35.7,27.93,3.86,54.89,52.98
561,72.59,68.52,47.67,45.1,30.89,10.29,50.16,54.52,32.47,31.6,59.69,31.62,16.45,1.46,40.16,35.65
562,59.44,47.2,33.47,38.49,20.14,7.7,47.5,39.75,19.99,25.8,29,28.95,12.83,1,34.68,35.86
563,116.83,111.11,109.62,101.17,80.87,41.91,107.92,92.92,78.84,84.64,89.72,67.04,59.3,15.03,75.65,82.56
564,63.27,77.39,67.19,61.38,36.12,22.23,59.19,60.45,36.19,41.21,64.46,47.71,27.86,6.38,47.94,48.11
565,96.44,76.5,65.75,56.8,49.89,26.02,75.63,68.31,44.3,44.48,60.52,42.23,28.02,7.02,54.15,42.81
566,64.06,69.62,53.21,50.22,38.22,15.95,48.48,43.21,39.12,32.06,46.63,33.29,22.25,3.65,51.07,44.57
567,51.08,56.29,32.15,40.42,33.78,9.85,39.24,44.33,27.74,19.4,40.63,20.09,16.55,1.72,44.85,46.73
568,73.09,92.37,61.31,62.72,52.85,16.4,59.34,62.8,43.67,32.89,68.81,43.96,27.78,2.91,54.28,63.37
569,70.89,66.02,67.35,47.16,59.84,17.03,77.05,73.11,48.92,46.84,49.69,37.97,29.58,3.76,54.3,46.1
570,80.39,79.12,57.87,48.1,33.34,13.41,70.25,62.57,41.01,36.23,46.75,36.72,21.02,2.24,47.32,50.12
571,68.13,61.03,54.98,38.45,40.56,11.58,50.99,44.37,27.65,36.37,43.38,28.35,26.73,1.97,33.07,31.35
572,54.29,65.03,46.65,38.94,28.24,5.46,39.1,44.09,29.95,31.39,44.32,29.59,15.37,0.46,33.34,32.26
573,47.74,79.59,40.09,52.74,30.52,8.6,52.17,55.72,36.76,23.16,65.82,34.36,15.37,0.93,29.92,33.88
574,65.71,76.5,55.87,61.32,32.82,16.24,67.79,64.38,31.25,38.77,58.66,43.71,21.9,3.45,37.3,34.75
575,50.72,60.22,36.07,37.11,37.61,5.26,37.42,41.67,23.96,24.46,42.76,22.83,22.07,0.46,24.73,23.87
576,60.06,65.4,53.17,53.1,51.51,22.9,62.72,53.53,26.98,39.39,53.62,36.11,32.78,8.02,42.27,42.08
577,52.71,74.02,50.45,35.13,26.65,13.93,47.39,41.77,33.12,32.73,45.15,16.06,13.89,2.61,28.47,32.27
578,54.17,42.42,35.08,25.25,12.22,4.31,37.6,32.48,28.35,20.24,42.42,12.69,4.58,0.34,15.64,20.08
579,56.86,82.06,47.75,42.39,35.9,23.21,59.89,52.62,34.98,33.18,62.14,27.39,25.47,6.57,41.13,31.07
580,33.82,53.06,31.45,28.24,32.49,14.35,36.26,26.68,21.23,25.55,44.45,16.57,20.07,3.88,25.34,21.49
581,65.95,69.66,54.74,50.33,42.88,28.81,59.69,46.18,40.17,35.64,44.1,35.05,34.01,11.91,41.8,39.43
582,64.23,72.49,48.9,42.56,22.71,7.9,46.25,53.13,34.99,24.94,45.12,29.43,10.46,0.86,35.83,41.23
583,110.02,112.68,108.44,97.66,102.82,66.03,100.67,98.64,74.34,89.47,92.4,81.69,75.36,38.7,109.89,90.13
584,105.44,106.56,90.67,78.32,69.11,36.67,85.03,82.19,75.24,51.49,93.86,49.02,41.79,12.62,91.27,92.41
585,75,82.17,80.7,82.07,45.91,28.43,71.34,72.52,42.81,57.34,50.08,64.42,33.61,9.83,53,54.18
586,60.57,65.77,44.81,61.21,34.2,9.28,53.98,42.13,26.63,29.98,51.11,36.75,18.68,1.31,42.34,40.55
587,61.48,75.2,53.29,55.11,48.54,26.07,61.22,45.26,28.89,39.06,44.64,37.87,31.89,9.04,39.38,42.27
588,76.05,87.18,60.31,64.12,47.54,17.44,79.75,60.62,54.29,46.86,59.14,44.99,27.42,3.49,51.3,52.19
589,118.38,111.2,78.29,73.54,53.07,14.3,65.47,76.24,65.62,48.3,77.66,58.61,28.62,1.73,66.62,72.39
590,81.12,83.8,57.03,55.52,50.13,20.69,63.95,56.36,44.39,38.97,56.74,38.39,25.37,5.11,49.6,44.63
591,73.6,61.12,42.08,41.62,27.87,15.14,41.65,42.35,41.49,32.17,50.94,30.07,16.5,3.11,30.71,27.03
592,54.85,57.91,41.07,36.74,29.4,7.24,37.62,42.07,24.91,30.46,39.78,29.38,15.25,0.91,29.4,26.1
593,49.62,70.38,48.14,62.46,42.86,25.41,69.02,48.16,23.94,36.84,52.48,52.37,29.81,8.14,36.16,31.06
594,49.2,64.87,44.11,40.79,27.65,4.55,64.15,36.96,19.65,20.24,44.25,22.65,15.96,0.32,25.45,29.32
595,49.58,63.74,51.34,55.52,31.84,9.41,61.33,51.12,22.03,27.92,45.49,38.22,20.63,1.39,37,30.73
596,60.88,67.41,60.59,61.98,43.26,22.57,71.07,54.55,38.91,39.05,60.2,39.56,22.55,7.15,42.72,42.6
597,55.39,69.98,35.25,28.96,22.92,5.1,38.63,30.76,33.76,23.28,57.09,17.74,10.45,0.37,31.18,35.25
598,91.62,78.62,66.42,65.7,54.12,23.48,61.44,53.39,40.76,42.11,58.92,42.61,39.87,6.02,33.79,44.79
599,39.62,33.75,35.29,37.87,33.25,6.91,34.51,31.9,11.2,24.61,31.18,25.16,17.06,1.21,23.58,26.45
600,57.76,53.84,39.04,31.93,31.48,4.74,49.71,31.29,19.79,28.3,47.82,25.89,16.07,0.39,33.9,23.68
601,53.48,46.65,39.57,44.01,23.23,4.91,46.7,51.31,29.24,29.5,41.73,24.81,13.16,0.45,33.35,34.58
602,101.17,102.14,98.19,69.64,58.52,11.82,105,84.56,66.9,66.22,76.43,53.84,34.75,1.33,60.42,68.73
603,83.84,59.21,59.63,38.34,34.59,9.03,62.08,68.38,47.05,46.54,55.11,27.7,25.83,0.97,48.54,43.54
604,63.62,69.44,80.54,61.87,57.32,23.99,73.89,73.22,34.67,55.89,62.78,45.17,38.62,7.14,55.02,54.4
605,75.48,90,62.48,72.44,43.59,23.53,80.87,82.87,47.6,45.18,63.35,52.31,29.14,6.15,63.58,64.57
606,75.24,73.3,60.69,50.95,44.62,19.7,76.27,63.72,45.51,45.03,49.59,35.97,25.09,5.09,50.9,50.72
607,77.84,80.32,81.26,65.92,50.41,16.73,76.1,71.77,42.66,53.94,63.72,44.01,26.4,3.44,62.73,57.23
608,93.82,83.48,63.04,53.9,45.45,9.16,73.48,69.14,62.56,48.68,60.15,34.69,22.89,0.89,46.81,50.15
609,71.11,85.99,76.9,76.27,46.42,10.75,96.58,78.64,54.9,57.84,59.3,49,35.31,1.2,63.16,55.26
610,77.99,92.43,73.1,62.46,52.77,12.99,75.95,76.26,54.08,55.22,73.1,36.88,36.41,1.82,68.58,71.65
611,80.05,85.22,69.83,52.66,43.51,21.64,60.78,60.91,50.26,47.27,71.88,42.48,25.25,5.5,41.97,46.96
612,69.41,69.61,48.75,42.5,30.56,8.7,51.06,49.56,34.98,42.96,54.44,26.45,17.48,1.09,40.86,49.72
613,87.75,81.9,77.09,50.52,48.13,11.79,56.63,52.23,55.35,57.22,75.45,29.69,27.08,1.58,52.96,43.69
614,44.43,42,30.72,25.87,21.06,3.49,41.77,36.34,25.12,22.77,34.88,18.33,7.44,0.27,20.8,20.35
615,38.55,64.03,53.83,36.05,33.72,9.78,47.06,40.95,28.03,41.69,47.71,23.96,24.69,1.49,30.74,31.3
616,68.45,90.05,58.75,51.16,35.55,11.12,67.22,59.16,51.17,51.07,87.69,33.9,23.32,1.37,40.78,43.52
617,82.05,100.86,65.15,56.85,51.56,11.96,60.02,60.81,50.73,50.13,84.91,47.53,23.54,1.42,53.91,48.87
618,69.51,86.07,70.99,41.05,45.58,12.42,65.55,53.71,42.77,51.8,72.53,27.88,29.34,1.79,43.19,51.32
619,54.48,61.29,42.75,37.16,30.33,12.32,48.91,44.37,31.28,35.07,58.46,25.82,24.18,2.48,30.74,33.54
620,59.24,76.31,46.79,52.29,27.56,13.99,52.21,51.23,38.94,37.57,59.71,36.68,17.25,2.56,50.07,47.16
621,74.77,84.12,70.95,60.72,36.74,22.15,70.33,59.6,40.09,46.76,74.79,47.55,31.37,5.83,51.22,60.32
622,91.33,90.54,92.97,73.37,52.23,12.81,77.87,86.84,64.02,53.41,79.03,57.74,34.23,1.77,64.52,67.62
623,55.28,51.62,59.77,56.93,28.38,9.95,53.69,41.38,25.03,39.91,41.24,46.31,20.28,1.65,40.25,37
624,91.89,88.03,83.11,81.14,42.02,12.66,94.04,85.98,47.3,54.89,72.68,57.07,26.11,1.7,63.81,63.97
625,81.51,84.54,85.4,54.36,61.55,25.81,68.36,53.28,62.26,63.03,71.15,34.31,38.39,7.8,59.93,64.42
626,54.48,54.44,60.83,41.03,41.4,12.09,52.22,50,29.27,39.11,38.78,32.29,28.64,2.4,30.55,39.46
627,63.11,63.17,61.99,43.08,36.88,16.64,65.92,52.72,29.88,43.59,56.82,27.03,25.47,4.2,47.01,49.64
628,84.65,107.32,102.8,86.37,59.39,26.75,90.3,80.06,65.82,72.26,81.39,58.62,36.24,6.67,70.11,66.64
629,63.66,46.03,57.07,39.4,39.99,15.09,56.02,47.51,32.42,30.78,40.6,26.94,16.99,3.58,37,35.34
630,90.26,83.12,75.36,76.1,56.21,22.52,81.15,76.42,49.17,59.72,69.3,55.04,41.58,5.62,67.11,65.76
631,50.55,66.19,55.27,52.03,33,6.14,56.22,54.43,32.67,41.77,56.4,25.72,22.25,0.57,43.62,33.74
632,59.3,82.21,62.62,68.32,41.02,11.58,72.69,70.45,40.23,40.78,66.28,51.69,24.15,1.63,45.1,35.12
633,58.47,71.51,56.08,51.78,36.1,10.34,60.51,43.55,38.82,41.3,51.62,31.74,24.7,1.5,39.87,41.29
634,64.13,73.38,50.92,52.67,27.2,5.04,76.79,55.67,42.27,30.7,62.62,42.04,13.99,0.33,44.84,41.22
635,58.27,79.84,62.86,47.2,36.69,11.34,59.87,54.27,36.54,41.68,61.46,34.18,20.91,1.61,38.11,39.03
636,72.7,83.18,52.35,59.08,37.66,12.65,64.96,52.83,47.72,39.19,73.65,46.77,22.26,1.92,44.55,40.39
637,68.19,90.42,65.2,74.25,46.67,13.86,88.08,67.46,41.11,49.5,84.44,53.18,28.54,2.12,52.14,54.3
638,71.71,69.36,49.91,52.76,35.57,5,48.05,50.14,39.02,33.88,50.56,38.96,25.27,0.35,32.24,36.62
639,56.9,76.77,47.18,51.3,30.35,12.03,62.99,58.47,38.57,31.58,59.57,33.49,24.18,1.88,43.65,31.88
640,71.97,83.37,69.01,58.86,44.15,14.92,72.84,63.56,41.73,55.08,61.92,45.86,36.64,2.67,46.33,45.52
Average,140.890625,153.6379375,90.65748438,90.57546875,67.1033125,44.74420312,102.7647188,92.45845313,52.3249375,40.35403125,69.30171875,34.63414063,24.45954688,10.44385938,55.98782813,56.57142188
