Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
55,82.93,84.03,86.34,76.58,46.26,11.91,93.21,88.35,57.95,62.72,70.77,56.85,29.8,1.7,63.77,63.7
56,68.41,81.21,73.07,54.92,39.48,10.39,71.88,61.53,46.16,52.65,71.95,40.59,22.39,1.46,48.44,49.4
57,74.81,74.41,59.56,55.16,43.59,18.08,63.48,60.2,41.23,39.52,55.59,38.96,26.16,4.52,50.44,49.59
58,54.42,65.93,45.16,41.27,32.85,12.58,49.13,45.73,29.42,30.52,50.27,26.77,19.82,2.87,31.12,30.31
59,81.82,86.67,67.72,66.04,51.69,25.56,68.74,63.33,48.74,46.21,61.48,47.62,32.72,9.46,58.1,56.94
60,58.21,62.16,46.33,46.36,34.47,12.45,52.91,42.26,27.64,30.5,48.82,32.36,20.42,2.9,32.39,31.7
61,77.36,78.3,69.54,59.58,45.69,14.26,76.69,71.99,48.52,50.4,60.53,40.44,28.76,2.85,55.31,55.08
62,65.39,75.73,56.46,44.61,36.76,11.72,55.12,50.93,40.86,43.76,64.77,31.27,21.96,1.96,40.6,41.64
63,75.09,75.29,75.03,61.25,45.48,17.65,70.99,63.38,44.53,50.35,62.58,44.29,29.93,4.12,53.15,55.02
64,63.22,77.62,57.14,56.82,36.84,10.29,66.3,57.08,39.87,40.55,62.85,40.36,24.29,1.46,43.04,39.91
